,url,news_title,news_text,date
28,https://www.espn.com/nba/story/_/id/26989461/vanvleet-kawhi-else-raptors-do,VanVleet on Kawhi -- Nothing else Raptors can do - ESPN,,"Sun, 16 Jun 2019 23:42:44 GMT"
29,https://www.foxbusiness.com/features/babe-ruth-jersey-5-64-million-auction,Babe Ruth jersey sells for record $5.64M at auction - Fox Business,,"Sun, 16 Jun 2019 14:01:48 GMT"
30,https://myfox8.com/2019/06/16/strawberry-moon-2019-best-times-to-watch-and-a-special-viewing-bonus/,Strawberry Moon 2019: Best times to watch and a special viewing bonus - WGHP FOX 8 Greensboro,,"Sun, 16 Jun 2019 22:23:00 GMT"
31,https://www.cbsnews.com/news/nasa-land-first-woman-moon-artemis-mission-space-exploration-moon-landing-project/,"NASA to land first woman on moon as part of Artemis mission space exploration, moon landing project - CBS News",,"Sun, 16 Jun 2019 23:56:00 GMT"
32,https://geektyrant.com/news/nasa-finds-starfleet-insignia-on-mars-landscape-and-mark-hamill-and-william-shatner-trade-tweets,NASA Finds Starfleet Insignia on Mars Landscape and Mark Hamill and William Shatner Trade Tweets - GeekTyrant,,"Sun, 16 Jun 2019 16:00:00 GMT"
33,https://www.express.co.uk/news/science/1141074/NASA-aurora-picture-astronaut-photos-International-Space-Station-ISS-Christina-Koch-NASA,NASA astronaut snaps ‘AWE INSPIRING’ aurora photo from the International Space Station - Express.co.uk,,"Sun, 16 Jun 2019 15:36:00 GMT"
34,https://www.aol.com/article/news/2019/06/16/summer-camp-is-newest-front-in-battle-with-measles-outbreak/23750561/,Summer camp is newest front in battle with measles outbreak - AOL,,"Sun, 16 Jun 2019 14:03:09 GMT"
35,http://news3lv.com/news/local/new-study-shows-dads-healthy-choices-can-have-a-big-impact-on-his-children,New study shows Dad's healthy choices can have a big impact on his children - News3LV,,"Sun, 16 Jun 2019 18:04:00 GMT"
36,https://www.apnews.com/9be2288e0bad444c86d00e3d0bef806c,Ugandan medics now tackling Ebola say they lack supplies - Associated Press,,"Sat, 15 Jun 2019 09:49:42 GMT"
37,https://www.upi.com/Health_News/2019/06/15/FDA-warns-of-infections-from-fecal-transplants-after-death/3761560618618/,FDA warns of infections from fecal transplants after death - UPI News,,"Sat, 15 Jun 2019 17:19:46 GMT"
